ta000, &, 0.000, &, 32, &, 0.000, &, 42, &,  0.000, &, 36.0
ta001, &, 0.058, &, 1286, &, 0.002, &, 1508, &,  0.002, &, 1298.0
ta002, &, 0.049, &, 1365, &, 0.000, &, 1518, &,  0.003, &, 1365.0
ta003, &, 0.033, &, 1159, &, 0.000, &, 1499, &,  0.000, &, 1161.0
ta004, &, 0.044, &, 1325, &, 0.000, &, 1595, &,  0.002, &, 1346.4
ta005, &, 0.029, &, 1305, &, 0.000, &, 1462, &,  0.000, &, 1337.4
ta006, &, 0.049, &, 1228, &, 0.001, &, 1414, &,  0.000, &, 1303.2
ta007, &, 0.069, &, 1278, &, 0.001, &, 1543, &,  0.001, &, 1275.8
ta008, &, 0.062, &, 1223, &, 0.001, &, 1504, &,  0.001, &, 1267.4
ta009, &, 0.023, &, 1291, &, 0.001, &, 1713, &,  0.000, &, 1309.0
ta010, &, 0.021, &, 1151, &, 0.000, &, 1374, &,  0.000, &, 1182.4
ta011, &, 0.021, &, 1680, &, 0.001, &, 2056, &,  0.000, &, 1707.8
ta012, &, 0.025, &, 1729, &, 0.000, &, 1992, &,  0.001, &, 1739.8
ta013, &, 0.026, &, 1557, &, 0.000, &, 1974, &,  0.000, &, 1600.0
ta014, &, 0.018, &, 1439, &, 0.000, &, 1756, &,  0.000, &, 1492.8
ta015, &, 0.053, &, 1502, &, 0.001, &, 1831, &,  0.001, &, 1528.4
ta016, &, 0.083, &, 1453, &, 0.001, &, 1893, &,  0.001, &, 1502.8
ta017, &, 0.066, &, 1562, &, 0.000, &, 2090, &,  0.000, &, 1582.6
ta018, &, 0.043, &, 1609, &, 0.000, &, 2016, &,  0.000, &, 1696.8
ta019, &, 0.017, &, 1647, &, 0.000, &, 1858, &,  0.003, &, 1669.2
ta020, &, 0.022, &, 1653, &, 0.000, &, 2057, &,  0.002, &, 1688.6
ta021, &, 0.033, &, 2410, &, 0.000, &, 2938, &,  0.000, &, 2451.0
ta022, &, 0.042, &, 2150, &, 0.000, &, 2675, &,  0.001, &, 2221.4
ta023, &, 0.034, &, 2411, &, 0.001, &, 2785, &,  0.001, &, 2462.2
ta024, &, 0.105, &, 2262, &, 0.002, &, 2515, &,  0.001, &, 2312.6
ta025, &, 0.133, &, 2397, &, 0.001, &, 2831, &,  0.002, &, 2447.4
ta026, &, 0.141, &, 2349, &, 0.002, &, 2778, &,  0.001, &, 2417.4
ta027, &, 0.134, &, 2362, &, 0.001, &, 2651, &,  0.002, &, 2421.2
ta028, &, 0.098, &, 2249, &, 0.002, &, 2678, &,  0.002, &, 2301.0
ta029, &, 0.123, &, 2320, &, 0.002, &, 2731, &,  0.002, &, 2370.0
ta030, &, 0.122, &, 2277, &, 0.002, &, 2789, &,  0.002, &, 2321.0
ta031, &, 0.733, &, 2733, &, 0.002, &, 3350, &,  0.002, &, 2733.0
