ta000, &, 0.000, &, 32, &, 0.000, &, 37, &,  0.000, &, 35.8
ta001, &, 0.040, &, 1286, &, 0.001, &, 1518, &,  0.001, &, 1317.6
ta002, &, 0.035, &, 1365, &, 0.001, &, 1498, &,  0.000, &, 1365.4
ta003, &, 0.057, &, 1159, &, 0.001, &, 1400, &,  0.001, &, 1170.0
ta004, &, 0.061, &, 1325, &, 0.001, &, 1618, &,  0.001, &, 1348.8
ta005, &, 0.062, &, 1305, &, 0.000, &, 1467, &,  0.002, &, 1312.6
ta006, &, 0.067, &, 1228, &, 0.001, &, 1559, &,  0.001, &, 1235.6
ta007, &, 0.059, &, 1278, &, 0.000, &, 1470, &,  0.000, &, 1318.8
ta008, &, 0.056, &, 1223, &, 0.001, &, 1490, &,  0.001, &, 1260.4
ta009, &, 0.056, &, 1291, &, 0.001, &, 1564, &,  0.000, &, 1324.8
ta010, &, 0.025, &, 1151, &, 0.000, &, 1328, &,  0.001, &, 1169.8
ta011, &, 0.020, &, 1680, &, 0.001, &, 1961, &,  0.000, &, 1719.0
ta012, &, 0.022, &, 1729, &, 0.000, &, 2071, &,  0.000, &, 1739.4
ta013, &, 0.030, &, 1557, &, 0.000, &, 1901, &,  0.000, &, 1604.8
ta014, &, 0.045, &, 1439, &, 0.001, &, 1725, &,  0.000, &, 1480.2
ta015, &, 0.035, &, 1502, &, 0.000, &, 1860, &,  0.003, &, 1520.2
ta016, &, 0.032, &, 1453, &, 0.000, &, 1865, &,  0.000, &, 1496.2
ta017, &, 0.016, &, 1562, &, 0.000, &, 1726, &,  0.000, &, 1584.0
ta018, &, 0.033, &, 1609, &, 0.000, &, 1932, &,  0.000, &, 1654.0
ta019, &, 0.068, &, 1647, &, 0.004, &, 2114, &,  0.001, &, 1686.0
ta020, &, 0.048, &, 1653, &, 0.002, &, 2101, &,  0.000, &, 1721.8
ta021, &, 0.084, &, 2410, &, 0.000, &, 2732, &,  0.000, &, 2470.6
ta022, &, 0.052, &, 2150, &, 0.000, &, 2634, &,  0.000, &, 2181.8
ta023, &, 0.018, &, 2411, &, 0.003, &, 2896, &,  0.000, &, 2470.0
ta024, &, 0.049, &, 2262, &, 0.000, &, 2713, &,  0.003, &, 2308.0
ta025, &, 0.034, &, 2397, &, 0.000, &, 2712, &,  0.000, &, 2453.4
ta026, &, 0.021, &, 2349, &, 0.003, &, 2666, &,  0.000, &, 2372.8
ta027, &, 0.044, &, 2362, &, 0.000, &, 2754, &,  0.000, &, 2426.0
ta028, &, 0.035, &, 2249, &, 0.000, &, 2731, &,  0.000, &, 2285.4
ta029, &, 0.034, &, 2320, &, 0.000, &, 2697, &,  0.000, &, 2346.8
ta030, &, 0.034, &, 2277, &, 0.000, &, 2738, &,  0.000, &, 2330.2
ta031, &, 0.432, &, 2733, &, 0.002, &, 3317, &,  0.000, &, 2755.6
ta032, &, 0.693, &, 2843, &, 0.003, &, 3442, &,  0.003, &, 2840.4
ta033, &, 0.361, &, 2640, &, 0.000, &, 3074, &,  0.000, &, 2661.6
ta034, &, 0.268, &, 2782, &, 0.000, &, 3290, &,  0.000, &, 2819.4
ta035, &, 0.248, &, 2868, &, 0.003, &, 3267, &,  0.001, &, 2897.4
ta036, &, 0.484, &, 2850, &, 0.002, &, 3348, &,  0.002, &, 2852.0
ta037, &, 0.631, &, 2758, &, 0.003, &, 3320, &,  0.000, &, 2798.6
ta038, &, 0.248, &, 2721, &, 0.000, &, 3012, &,  0.000, &, 2749.4
ta039, &, 0.368, &, 2576, &, 0.003, &, 3220, &,  0.000, &, 2587.8
ta040, &, 0.452, &, 2790, &, 0.002, &, 3273, &,  0.000, &, 2804.6
ta041, &, 0.966, &, 3135, &, 0.002, &, 3956, &,  0.002, &, 3212.8
ta042, &, 0.999, &, 3032, &, 0.003, &, 3661, &,  0.002, &, 3089.0
ta043, &, 0.839, &, 2986, &, 0.003, &, 3684, &,  0.000, &, 3022.4
ta044, &, 0.523, &, 3198, &, 0.000, &, 3901, &,  0.001, &, 3207.6
ta045, &, 0.704, &, 3160, &, 0.002, &, 3798, &,  0.002, &, 3183.8
ta046, &, 1.016, &, 3178, &, 0.001, &, 3967, &,  0.001, &, 3258.2
ta047, &, 0.701, &, 3277, &, 0.000, &, 3925, &,  0.000, &, 3312.6
ta048, &, 0.492, &, 3123, &, 0.000, &, 3904, &,  0.000, &, 3177.0
ta049, &, 0.440, &, 3002, &, 0.001, &, 3940, &,  0.002, &, 3027.8
ta050, &, 0.903, &, 3257, &, 0.000, &, 3795, &,  0.000, &, 3296.8
ta051, &, 0.781, &, 4082, &, 0.006, &, 4941, &,  0.000, &, 4142.0
ta052, &, 1.276, &, 3921, &, 0.003, &, 4537, &,  0.000, &, 3963.8
ta053, &, 1.023, &, 3927, &, 0.005, &, 4618, &,  0.003, &, 3957.8
ta054, &, 1.083, &, 3969, &, 0.003, &, 4744, &,  0.003, &, 3999.6
ta055, &, 0.740, &, 3835, &, 0.004, &, 4801, &,  0.005, &, 3852.8
ta056, &, 1.289, &, 3914, &, 0.000, &, 4823, &,  0.003, &, 3939.2
ta057, &, 0.843, &, 3952, &, 0.003, &, 4895, &,  0.000, &, 3968.2
ta058, &, 0.791, &, 3938, &, 0.003, &, 4789, &,  0.000, &, 3968.4
ta059, &, 0.669, &, 3952, &, 0.004, &, 4756, &,  0.003, &, 3995.8
ta060, &, 1.564, &, 4079, &, 0.004, &, 5023, &,  0.005, &, 4112.2
ta061, &, 4.135, &, 5519, &, 0.002, &, 6324, &,  0.000, &, 5548.0
ta062, &, 3.796, &, 5348, &, 0.000, &, 6031, &,  0.003, &, 5394.6
ta063, &, 3.806, &, 5219, &, 0.003, &, 5880, &,  0.000, &, 5244.2
ta064, &, 3.183, &, 5023, &, 0.005, &, 5658, &,  0.004, &, 5042.8
ta065, &, 4.254, &, 5266, &, 0.004, &, 6089, &,  0.000, &, 5311.0
ta066, &, 3.966, &, 5139, &, 0.002, &, 5870, &,  0.003, &, 5182.8
ta067, &, 3.734, &, 5259, &, 0.003, &, 6019, &,  0.002, &, 5303.0
ta068, &, 3.569, &, 5120, &, 0.003, &, 5840, &,  0.005, &, 5188.8
ta069, &, 3.575, &, 5489, &, 0.002, &, 6138, &,  0.003, &, 5473.6
ta070, &, 3.697, &, 5299, &, 0.003, &, 6060, &,  0.000, &, 5328.8
ta071, &, 6.706, &, 5846, &, 0.005, &, 6855, &,  0.005, &, 5897.8
ta072, &, 6.378, &, 5453, &, 0.000, &, 6468, &,  0.007, &, 5498.6
ta073, &, 5.312, &, 5824, &, 0.003, &, 6578, &,  0.003, &, 5851.2
ta074, &, 6.256, &, 5929, &, 0.003, &, 6937, &,  0.000, &, 5985.4
ta075, &, 5.278, &, 5679, &, 0.003, &, 6512, &,  0.003, &, 5691.8
ta076, &, 5.783, &, 5375, &, 0.002, &, 6501, &,  0.001, &, 5444.0
ta077, &, 5.084, &, 5704, &, 0.005, &, 6505, &,  0.005, &, 5772.4
ta078, &, 5.515, &, 5760, &, 0.005, &, 6818, &,  0.004, &, 5770.0
ta079, &, 4.263, &, 6032, &, 0.007, &, 6769, &,  0.003, &, 6062.0
