ta000, &, 0.001, &, 32, &, 0.000, &, 36, &,  0.000, &, 36.4
ta001, &, 0.031, &, 1286, &, 0.003, &, 1540, &,  0.000, &, 1310.0
ta002, &, 0.041, &, 1365, &, 0.003, &, 1511, &,  0.001, &, 1365.6
ta003, &, 0.050, &, 1159, &, 0.000, &, 1441, &,  0.000, &, 1180.6
ta004, &, 0.061, &, 1325, &, 0.001, &, 1613, &,  0.000, &, 1369.4
ta005, &, 0.060, &, 1305, &, 0.001, &, 1511, &,  0.001, &, 1325.2
ta006, &, 0.056, &, 1228, &, 0.000, &, 1617, &,  0.001, &, 1254.4
ta007, &, 0.058, &, 1278, &, 0.002, &, 1481, &,  0.001, &, 1289.2
ta008, &, 0.056, &, 1223, &, 0.001, &, 1484, &,  0.000, &, 1269.6
ta009, &, 0.051, &, 1291, &, 0.001, &, 1567, &,  0.001, &, 1320.2
ta010, &, 0.071, &, 1151, &, 0.001, &, 1536, &,  0.001, &, 1187.4
ta011, &, 0.085, &, 1680, &, 0.001, &, 2009, &,  0.001, &, 1691.8
ta012, &, 0.078, &, 1729, &, 0.002, &, 1960, &,  0.001, &, 1755.0
ta013, &, 0.091, &, 1557, &, 0.000, &, 1955, &,  0.001, &, 1588.8
ta014, &, 0.045, &, 1439, &, 0.001, &, 1788, &,  0.001, &, 1476.6
ta015, &, 0.087, &, 1502, &, 0.001, &, 1842, &,  0.001, &, 1567.0
ta016, &, 0.100, &, 1453, &, 0.001, &, 1770, &,  0.001, &, 1523.8
ta017, &, 0.068, &, 1562, &, 0.000, &, 1977, &,  0.000, &, 1562.8
ta018, &, 0.017, &, 1609, &, 0.000, &, 1830, &,  0.003, &, 1679.0
ta019, &, 0.017, &, 1647, &, 0.000, &, 1937, &,  0.000, &, 1671.0
ta020, &, 0.055, &, 1653, &, 0.000, &, 2038, &,  0.000, &, 1693.0
ta021, &, 0.136, &, 2410, &, 0.003, &, 2806, &,  0.003, &, 2478.2
ta022, &, 0.084, &, 2150, &, 0.003, &, 2566, &,  0.003, &, 2196.6
ta023, &, 0.102, &, 2411, &, 0.001, &, 2914, &,  0.001, &, 2428.2
ta024, &, 0.068, &, 2262, &, 0.000, &, 2712, &,  0.000, &, 2330.2
ta025, &, 0.034, &, 2397, &, 0.000, &, 2751, &,  0.000, &, 2431.2
ta026, &, 0.085, &, 2349, &, 0.000, &, 2901, &,  0.002, &, 2383.0
ta027, &, 0.083, &, 2362, &, 0.000, &, 2854, &,  0.000, &, 2395.8
ta028, &, 0.123, &, 2249, &, 0.000, &, 2611, &,  0.002, &, 2327.8
ta029, &, 0.123, &, 2320, &, 0.003, &, 2733, &,  0.000, &, 2398.2
ta030, &, 0.129, &, 2277, &, 0.001, &, 2716, &,  0.002, &, 2345.2
ta031, &, 0.721, &, 2733, &, 0.003, &, 3223, &,  0.003, &, 2747.0
ta032, &, 0.434, &, 2843, &, 0.000, &, 3395, &,  0.000, &, 2885.4
ta033, &, 0.263, &, 2640, &, 0.003, &, 3127, &,  0.000, &, 2657.8
ta034, &, 0.491, &, 2782, &, 0.001, &, 3152, &,  0.001, &, 2798.0
ta035, &, 0.746, &, 2868, &, 0.002, &, 3249, &,  0.002, &, 2870.6
ta036, &, 0.733, &, 2850, &, 0.001, &, 3264, &,  0.002, &, 2854.0
ta037, &, 0.337, &, 2758, &, 0.003, &, 3081, &,  0.000, &, 2785.8
ta038, &, 0.415, &, 2721, &, 0.003, &, 3314, &,  0.000, &, 2738.4
ta039, &, 0.389, &, 2576, &, 0.001, &, 2982, &,  0.001, &, 2589.6
ta040, &, 0.691, &, 2790, &, 0.002, &, 3172, &,  0.002, &, 2814.2
ta041, &, 0.565, &, 3135, &, 0.000, &, 3861, &,  0.000, &, 3177.4
ta042, &, 0.482, &, 3032, &, 0.000, &, 3843, &,  0.000, &, 3055.4
ta043, &, 0.955, &, 2986, &, 0.002, &, 3861, &,  0.002, &, 3018.6
ta044, &, 0.615, &, 3198, &, 0.000, &, 3997, &,  0.000, &, 3219.2
ta045, &, 0.654, &, 3160, &, 0.004, &, 3851, &,  0.003, &, 3204.0
ta046, &, 0.969, &, 3178, &, 0.003, &, 3824, &,  0.000, &, 3228.0
ta047, &, 0.459, &, 3277, &, 0.000, &, 4034, &,  0.003, &, 3317.0
ta048, &, 0.779, &, 3123, &, 0.002, &, 3932, &,  0.003, &, 3199.2
ta049, &, 0.722, &, 3002, &, 0.000, &, 3587, &,  0.007, &, 3055.4
ta050, &, 0.445, &, 3257, &, 0.000, &, 3932, &,  0.002, &, 3285.4
ta051, &, 1.192, &, 4082, &, 0.001, &, 4681, &,  0.005, &, 4143.0
ta052, &, 0.698, &, 3921, &, 0.003, &, 4593, &,  0.002, &, 3983.4
ta053, &, 1.328, &, 3927, &, 0.006, &, 4794, &,  0.000, &, 3970.4
ta054, &, 0.806, &, 3969, &, 0.000, &, 4686, &,  0.000, &, 3999.6
ta055, &, 1.531, &, 3835, &, 0.002, &, 4832, &,  0.003, &, 3914.0
ta056, &, 1.163, &, 3914, &, 0.003, &, 4955, &,  0.000, &, 3993.6
ta057, &, 1.365, &, 3952, &, 0.003, &, 4807, &,  0.003, &, 4013.6
ta058, &, 1.653, &, 3938, &, 0.003, &, 4836, &,  0.005, &, 4012.2
ta059, &, 1.707, &, 3952, &, 0.005, &, 4863, &,  0.003, &, 4016.0
ta060, &, 0.994, &, 4079, &, 0.000, &, 4781, &,  0.003, &, 4116.4
ta061, &, 3.365, &, 5519, &, 0.003, &, 6206, &,  0.003, &, 5529.4
ta062, &, 3.568, &, 5348, &, 0.004, &, 5957, &,  0.001, &, 5390.4
