ta000, &, 0.001, &, 32, &, 0.013, &, 38, &,  0.000, &, 34.4
ta001, &, 0.013, &, 1286, &, 0.000, &, 1528, &,  0.000, &, 1307.0
ta002, &, 0.018, &, 1365, &, 0.000, &, 1545, &,  0.000, &, 1381.6
ta003, &, 0.017, &, 1159, &, 0.000, &, 1380, &,  0.000, &, 1173.0
ta004, &, 0.018, &, 1325, &, 0.000, &, 1679, &,  0.000, &, 1373.4
ta005, &, 0.017, &, 1305, &, 0.000, &, 1544, &,  0.000, &, 1316.8
ta006, &, 0.017, &, 1228, &, 0.003, &, 1397, &,  0.000, &, 1275.4
ta007, &, 0.000, &, 1278, &, 0.000, &, 1415, &,  0.000, &, 1290.8
ta008, &, 0.000, &, 1223, &, 0.000, &, 1528, &,  0.000, &, 1262.4
ta009, &, 0.021, &, 1291, &, 0.000, &, 1639, &,  0.000, &, 1315.6
ta010, &, 0.014, &, 1151, &, 0.000, &, 1582, &,  0.000, &, 1189.6
ta011, &, 0.035, &, 1680, &, 0.000, &, 2120, &,  0.000, &, 1708.8
ta012, &, 0.029, &, 1729, &, 0.000, &, 2181, &,  0.000, &, 1764.8
ta013, &, 0.017, &, 1557, &, 0.000, &, 1830, &,  0.000, &, 1577.6
ta014, &, 0.016, &, 1439, &, 0.003, &, 1881, &,  0.000, &, 1463.4
ta015, &, 0.017, &, 1502, &, 0.000, &, 1889, &,  0.000, &, 1601.8
ta016, &, 0.032, &, 1453, &, 0.000, &, 1794, &,  0.000, &, 1524.4
ta017, &, 0.022, &, 1562, &, 0.000, &, 2043, &,  0.000, &, 1586.2
ta018, &, 0.024, &, 1609, &, 0.001, &, 1903, &,  0.000, &, 1631.6
ta019, &, 0.079, &, 1647, &, 0.000, &, 2089, &,  0.000, &, 1664.0
ta020, &, 0.051, &, 1653, &, 0.000, &, 1894, &,  0.003, &, 1692.6
ta021, &, 0.032, &, 2410, &, 0.000, &, 2804, &,  0.000, &, 2502.8
ta022, &, 0.035, &, 2150, &, 0.000, &, 2496, &,  0.003, &, 2191.0
ta023, &, 0.034, &, 2411, &, 0.000, &, 2797, &,  0.000, &, 2446.6
ta024, &, 0.065, &, 2262, &, 0.000, &, 2715, &,  0.000, &, 2314.0
ta025, &, 0.033, &, 2397, &, 0.000, &, 2806, &,  0.000, &, 2425.0
ta026, &, 0.035, &, 2349, &, 0.000, &, 2632, &,  0.000, &, 2385.6
