ta000, &, 0.000, &, 32, &, 0.000, &, 41, &,  0.000, &, 34.2
ta001, &, 0.048, &, 1286, &, 0.001, &, 1541, &,  0.000, &, 1305.6
ta002, &, 0.059, &, 1365, &, 0.000, &, 1578, &,  0.000, &, 1389.6
ta003, &, 0.033, &, 1159, &, 0.000, &, 1405, &,  0.000, &, 1186.6
ta004, &, 0.028, &, 1325, &, 0.000, &, 1561, &,  0.001, &, 1395.0
ta005, &, 0.075, &, 1305, &, 0.001, &, 1516, &,  0.000, &, 1330.8
ta006, &, 0.049, &, 1228, &, 0.000, &, 1463, &,  0.001, &, 1275.2
ta007, &, 0.020, &, 1278, &, 0.001, &, 1604, &,  0.001, &, 1305.2
ta008, &, 0.015, &, 1223, &, 0.001, &, 1575, &,  0.000, &, 1260.0
ta009, &, 0.023, &, 1291, &, 0.000, &, 1654, &,  0.000, &, 1348.8
ta010, &, 0.018, &, 1151, &, 0.000, &, 1505, &,  0.000, &, 1219.2
ta011, &, 0.024, &, 1680, &, 0.001, &, 2024, &,  0.000, &, 1705.0
ta012, &, 0.029, &, 1729, &, 0.000, &, 2056, &,  0.000, &, 1772.4
ta013, &, 0.031, &, 1557, &, 0.000, &, 1788, &,  0.000, &, 1577.6
ta014, &, 0.075, &, 1439, &, 0.000, &, 1753, &,  0.000, &, 1489.8
ta015, &, 0.095, &, 1502, &, 0.002, &, 2017, &,  0.001, &, 1556.4
ta016, &, 0.097, &, 1453, &, 0.001, &, 1812, &,  0.001, &, 1514.8
ta017, &, 0.090, &, 1562, &, 0.003, &, 1819, &,  0.002, &, 1578.6
ta018, &, 0.104, &, 1609, &, 0.002, &, 1976, &,  0.001, &, 1634.6
ta019, &, 0.091, &, 1647, &, 0.002, &, 2124, &,  0.001, &, 1662.8
ta020, &, 0.084, &, 1653, &, 0.002, &, 1936, &,  0.001, &, 1692.4
ta021, &, 0.143, &, 2410, &, 0.001, &, 2665, &,  0.002, &, 2437.8
ta022, &, 0.168, &, 2150, &, 0.003, &, 2578, &,  0.002, &, 2185.8
ta023, &, 0.132, &, 2411, &, 0.003, &, 2723, &,  0.002, &, 2466.4
ta024, &, 0.150, &, 2262, &, 0.002, &, 2693, &,  0.002, &, 2369.4
ta025, &, 0.152, &, 2397, &, 0.002, &, 2762, &,  0.001, &, 2451.4
ta026, &, 0.138, &, 2349, &, 0.002, &, 2740, &,  0.001, &, 2357.6
ta027, &, 0.105, &, 2362, &, 0.001, &, 2688, &,  0.001, &, 2405.8
ta028, &, 0.113, &, 2249, &, 0.001, &, 2637, &,  0.002, &, 2282.2
ta029, &, 0.134, &, 2320, &, 0.002, &, 2826, &,  0.003, &, 2375.2
ta030, &, 0.116, &, 2277, &, 0.002, &, 2669, &,  0.003, &, 2334.8
ta031, &, 0.907, &, 2733, &, 0.003, &, 3143, &,  0.001, &, 2749.0
ta032, &, 0.831, &, 2843, &, 0.001, &, 3468, &,  0.003, &, 2852.4
ta033, &, 0.839, &, 2640, &, 0.002, &, 3096, &,  0.001, &, 2690.0
ta034, &, 0.865, &, 2782, &, 0.002, &, 3299, &,  0.003, &, 2774.0
ta035, &, 0.806, &, 2868, &, 0.001, &, 3399, &,  0.001, &, 2896.6
ta036, &, 0.838, &, 2850, &, 0.003, &, 3303, &,  0.002, &, 2933.0
ta037, &, 0.785, &, 2758, &, 0.001, &, 3338, &,  0.003, &, 2785.2
ta038, &, 0.761, &, 2721, &, 0.001, &, 3206, &,  0.001, &, 2767.4
ta039, &, 0.826, &, 2576, &, 0.003, &, 2977, &,  0.003, &, 2593.4
ta040, &, 0.813, &, 2790, &, 0.002, &, 3047, &,  0.003, &, 2796.2
ta041, &, 1.396, &, 3135, &, 0.004, &, 3702, &,  0.004, &, 3174.6
ta042, &, 1.330, &, 3032, &, 0.004, &, 3554, &,  0.003, &, 3074.0
ta043, &, 1.241, &, 2986, &, 0.003, &, 3834, &,  0.001, &, 3024.8
ta044, &, 1.202, &, 3198, &, 0.004, &, 3889, &,  0.002, &, 3239.2
ta045, &, 1.173, &, 3160, &, 0.003, &, 3836, &,  0.003, &, 3186.2
ta046, &, 1.243, &, 3178, &, 0.005, &, 3736, &,  0.003, &, 3222.0
ta047, &, 1.193, &, 3277, &, 0.004, &, 3802, &,  0.003, &, 3342.0
ta048, &, 1.224, &, 3123, &, 0.003, &, 3545, &,  0.002, &, 3182.6
ta049, &, 1.158, &, 3002, &, 0.004, &, 3773, &,  0.005, &, 3068.0
ta050, &, 1.182, &, 3257, &, 0.004, &, 3721, &,  0.001, &, 3283.2
ta051, &, 2.001, &, 4082, &, 0.006, &, 4725, &,  0.004, &, 4130.8
ta052, &, 2.131, &, 3921, &, 0.006, &, 4464, &,  0.005, &, 3942.8
ta053, &, 1.979, &, 3927, &, 0.004, &, 4565, &,  0.005, &, 3971.6
ta054, &, 1.966, &, 3969, &, 0.008, &, 4721, &,  0.004, &, 4021.8
ta055, &, 2.024, &, 3835, &, 0.004, &, 4601, &,  0.004, &, 3887.6
ta056, &, 1.826, &, 3914, &, 0.006, &, 4727, &,  0.004, &, 3942.0
ta057, &, 1.960, &, 3952, &, 0.004, &, 4846, &,  0.005, &, 3973.4
ta058, &, 2.151, &, 3938, &, 0.005, &, 4588, &,  0.005, &, 3993.6
ta059, &, 1.980, &, 3952, &, 0.006, &, 4755, &,  0.006, &, 3989.2
ta060, &, 1.931, &, 4079, &, 0.004, &, 4798, &,  0.003, &, 4117.0
ta061, &, 6.625, &, 5519, &, 0.002, &, 6255, &,  0.003, &, 5606.2
ta062, &, 6.630, &, 5348, &, 0.005, &, 5819, &,  0.003, &, 5345.8
ta063, &, 6.424, &, 5219, &, 0.004, &, 5736, &,  0.005, &, 5244.4
ta064, &, 6.584, &, 5023, &, 0.004, &, 5626, &,  0.004, &, 5077.6
ta065, &, 6.268, &, 5266, &, 0.004, &, 6177, &,  0.004, &, 5282.8
ta066, &, 6.530, &, 5139, &, 0.004, &, 5714, &,  0.003, &, 5160.0
ta067, &, 6.690, &, 5259, &, 0.002, &, 5948, &,  0.004, &, 5276.6
ta068, &, 6.634, &, 5120, &, 0.004, &, 5902, &,  0.004, &, 5158.2
ta069, &, 6.498, &, 5489, &, 0.006, &, 6131, &,  0.005, &, 5533.2
ta070, &, 6.397, &, 5299, &, 0.005, &, 6182, &,  0.003, &, 5321.0
ta071, &, 9.806, &, 5846, &, 0.008, &, 7095, &,  0.007, &, 5895.8
ta072, &, 9.770, &, 5453, &, 0.005, &, 6633, &,  0.005, &, 5500.0
ta073, &, 9.800, &, 5824, &, 0.007, &, 7093, &,  0.006, &, 5842.0
ta074, &, 10.006, &, 5929, &, 0.007, &, 6947, &,  0.004, &, 5977.2
ta075, &, 9.383, &, 5679, &, 0.005, &, 6565, &,  0.007, &, 5696.0
ta076, &, 9.976, &, 5375, &, 0.007, &, 6389, &,  0.006, &, 5408.6
ta077, &, 8.716, &, 5704, &, 0.005, &, 6543, &,  0.005, &, 5707.8
ta078, &, 10.118, &, 5760, &, 0.005, &, 6772, &,  0.005, &, 5783.6
ta079, &, 9.947, &, 6032, &, 0.007, &, 6818, &,  0.007, &, 6052.4
