ta000, &, 0.000, &, 32, &, 0.024, &, 38, &,  0.000, &, 33.6
ta001, &, 0.017, &, 1286, &, 0.000, &, 1511, &,  0.000, &, 1335.0
ta002, &, 0.017, &, 1365, &, 0.000, &, 1548, &,  0.000, &, 1387.4
ta003, &, 0.000, &, 1159, &, 0.003, &, 1484, &,  0.000, &, 1179.0
ta004, &, 0.000, &, 1325, &, 0.003, &, 1742, &,  0.000, &, 1364.6
ta005, &, 0.000, &, 1305, &, 0.000, &, 1431, &,  0.000, &, 1311.4
ta006, &, 0.021, &, 1228, &, 0.000, &, 1639, &,  0.002, &, 1262.6
ta007, &, 0.000, &, 1278, &, 0.000, &, 1642, &,  0.000, &, 1297.2
ta008, &, 0.036, &, 1223, &, 0.000, &, 1445, &,  0.000, &, 1242.6
ta009, &, 0.031, &, 1291, &, 0.000, &, 1596, &,  0.000, &, 1325.4
ta010, &, 0.049, &, 1151, &, 0.000, &, 1389, &,  0.000, &, 1196.8
ta011, &, 0.023, &, 1680, &, 0.000, &, 1945, &,  0.000, &, 1753.0
ta012, &, 0.017, &, 1729, &, 0.000, &, 2020, &,  0.000, &, 1755.0
ta013, &, 0.026, &, 1557, &, 0.000, &, 1893, &,  0.000, &, 1578.4
ta014, &, 0.033, &, 1439, &, 0.000, &, 1880, &,  0.000, &, 1470.6
ta015, &, 0.066, &, 1502, &, 0.000, &, 1905, &,  0.000, &, 1582.0
ta016, &, 0.066, &, 1453, &, 0.003, &, 1798, &,  0.000, &, 1492.0
ta017, &, 0.035, &, 1562, &, 0.000, &, 1797, &,  0.000, &, 1596.8
ta018, &, 0.012, &, 1609, &, 0.000, &, 1982, &,  0.000, &, 1652.0
ta019, &, 0.055, &, 1647, &, 0.000, &, 1954, &,  0.000, &, 1685.6
ta020, &, 0.030, &, 1653, &, 0.000, &, 2127, &,  0.000, &, 1695.6
ta021, &, 0.034, &, 2410, &, 0.000, &, 2781, &,  0.000, &, 2442.0
ta022, &, 0.034, &, 2150, &, 0.000, &, 2557, &,  0.000, &, 2183.8
ta023, &, 0.053, &, 2411, &, 0.000, &, 2803, &,  0.000, &, 2427.0
ta024, &, 0.046, &, 2262, &, 0.000, &, 2749, &,  0.000, &, 2320.8
ta025, &, 0.031, &, 2397, &, 0.000, &, 2725, &,  0.000, &, 2424.8
ta026, &, 0.035, &, 2349, &, 0.000, &, 2686, &,  0.000, &, 2380.0
ta027, &, 0.050, &, 2362, &, 0.003, &, 2734, &,  0.000, &, 2374.2
ta028, &, 0.049, &, 2249, &, 0.000, &, 2659, &,  0.000, &, 2300.2
ta029, &, 0.028, &, 2320, &, 0.000, &, 2627, &,  0.004, &, 2357.4
ta030, &, 0.051, &, 2277, &, 0.000, &, 2652, &,  0.000, &, 2335.0
ta031, &, 0.197, &, 2733, &, 0.000, &, 3393, &,  0.003, &, 2774.2
ta032, &, 0.334, &, 2843, &, 0.000, &, 3377, &,  0.000, &, 2862.6
ta033, &, 0.203, &, 2640, &, 0.000, &, 3141, &,  0.003, &, 2674.0
ta034, &, 0.232, &, 2782, &, 0.002, &, 3253, &,  0.000, &, 2834.0
ta035, &, 0.265, &, 2868, &, 0.003, &, 3292, &,  0.000, &, 2895.6
ta036, &, 0.251, &, 2850, &, 0.000, &, 3418, &,  0.000, &, 2901.2
ta037, &, 0.203, &, 2758, &, 0.000, &, 3256, &,  0.000, &, 2758.6
ta038, &, 0.235, &, 2721, &, 0.003, &, 3136, &,  0.000, &, 2746.6
ta039, &, 0.203, &, 2576, &, 0.000, &, 3006, &,  0.000, &, 2617.8
ta040, &, 0.239, &, 2790, &, 0.000, &, 3334, &,  0.000, &, 2826.0
ta041, &, 0.316, &, 3135, &, 0.000, &, 4008, &,  0.000, &, 3160.0
ta042, &, 0.384, &, 3032, &, 0.000, &, 3559, &,  0.000, &, 3077.8
ta043, &, 0.357, &, 2986, &, 0.000, &, 3809, &,  0.003, &, 3006.2
ta044, &, 0.343, &, 3198, &, 0.000, &, 3926, &,  0.001, &, 3228.4
ta045, &, 0.299, &, 3160, &, 0.001, &, 3959, &,  0.001, &, 3175.4
ta046, &, 0.308, &, 3178, &, 0.001, &, 3907, &,  0.000, &, 3196.8
ta047, &, 0.305, &, 3277, &, 0.003, &, 3538, &,  0.000, &, 3305.2
ta048, &, 0.299, &, 3123, &, 0.000, &, 3673, &,  0.003, &, 3161.8
ta049, &, 0.333, &, 3002, &, 0.003, &, 3690, &,  0.000, &, 3016.2
ta050, &, 0.317, &, 3257, &, 0.000, &, 3958, &,  0.000, &, 3293.8
ta051, &, 0.539, &, 4082, &, 0.000, &, 4589, &,  0.000, &, 4114.6
ta052, &, 0.510, &, 3921, &, 0.000, &, 4733, &,  0.000, &, 3955.2
ta053, &, 0.585, &, 3927, &, 0.003, &, 4731, &,  0.000, &, 3982.2
ta054, &, 0.482, &, 3969, &, 0.003, &, 4638, &,  0.000, &, 4021.8
ta055, &, 0.501, &, 3835, &, 0.000, &, 4777, &,  0.000, &, 3862.6
ta056, &, 0.467, &, 3914, &, 0.003, &, 4821, &,  0.000, &, 3910.2
ta057, &, 0.567, &, 3952, &, 0.000, &, 4837, &,  0.003, &, 3959.6
ta058, &, 0.504, &, 3938, &, 0.000, &, 4769, &,  0.003, &, 3966.4
ta059, &, 0.713, &, 3952, &, 0.002, &, 4652, &,  0.001, &, 4005.8
ta060, &, 0.548, &, 4079, &, 0.001, &, 4958, &,  0.002, &, 4100.2
ta061, &, 1.697, &, 5519, &, 0.000, &, 6075, &,  0.000, &, 5569.6
ta062, &, 1.648, &, 5348, &, 0.000, &, 5753, &,  0.000, &, 5377.2
ta063, &, 1.645, &, 5219, &, 0.000, &, 5862, &,  0.000, &, 5252.8
ta064, &, 1.671, &, 5023, &, 0.000, &, 5652, &,  0.003, &, 5045.8
