ta000, &, 0.000, &, 32, &, 0.014, &, 41, &,  0.000, &, 33.2
ta001, &, 0.003, &, 1286, &, 0.003, &, 1405, &,  0.000, &, 1320.8
ta002, &, 0.000, &, 1365, &, 0.003, &, 1595, &,  0.000, &, 1383.2
ta003, &, 0.017, &, 1159, &, 0.000, &, 1481, &,  0.000, &, 1207.0
ta004, &, 0.017, &, 1325, &, 0.000, &, 1655, &,  0.000, &, 1390.0
ta005, &, 0.015, &, 1305, &, 0.000, &, 1464, &,  0.000, &, 1304.8
ta006, &, 0.000, &, 1228, &, 0.000, &, 1642, &,  0.003, &, 1249.4
ta007, &, 0.026, &, 1278, &, 0.000, &, 1384, &,  0.004, &, 1283.4
ta008, &, 0.024, &, 1223, &, 0.000, &, 1602, &,  0.000, &, 1285.6
ta009, &, 0.019, &, 1291, &, 0.000, &, 1623, &,  0.000, &, 1341.0
ta010, &, 0.009, &, 1151, &, 0.000, &, 1440, &,  0.003, &, 1201.6
ta011, &, 0.034, &, 1680, &, 0.000, &, 2044, &,  0.000, &, 1676.2
ta012, &, 0.051, &, 1729, &, 0.000, &, 2175, &,  0.000, &, 1775.8
ta013, &, 0.039, &, 1557, &, 0.000, &, 1929, &,  0.001, &, 1627.2
ta014, &, 0.031, &, 1439, &, 0.000, &, 1808, &,  0.000, &, 1502.8
ta015, &, 0.034, &, 1502, &, 0.003, &, 1951, &,  0.000, &, 1546.4
ta016, &, 0.050, &, 1453, &, 0.000, &, 1854, &,  0.000, &, 1488.0
ta017, &, 0.017, &, 1562, &, 0.000, &, 1846, &,  0.000, &, 1638.2
ta018, &, 0.032, &, 1609, &, 0.000, &, 1883, &,  0.000, &, 1649.0
ta019, &, 0.016, &, 1647, &, 0.000, &, 1783, &,  0.000, &, 1686.6
ta020, &, 0.038, &, 1653, &, 0.000, &, 2002, &,  0.000, &, 1692.4
ta021, &, 0.113, &, 2410, &, 0.003, &, 2698, &,  0.000, &, 2472.4
ta022, &, 0.099, &, 2150, &, 0.000, &, 2667, &,  0.000, &, 2209.6
ta023, &, 0.050, &, 2411, &, 0.000, &, 2716, &,  0.000, &, 2442.8
ta024, &, 0.033, &, 2262, &, 0.000, &, 2715, &,  0.000, &, 2299.6
ta025, &, 0.033, &, 2397, &, 0.000, &, 2854, &,  0.000, &, 2430.2
ta026, &, 0.033, &, 2349, &, 0.000, &, 2795, &,  0.000, &, 2374.6
ta027, &, 0.034, &, 2362, &, 0.000, &, 2745, &,  0.000, &, 2406.6
ta028, &, 0.050, &, 2249, &, 0.000, &, 2692, &,  0.000, &, 2302.8
ta029, &, 0.032, &, 2320, &, 0.000, &, 2754, &,  0.003, &, 2345.8
ta030, &, 0.017, &, 2277, &, 0.003, &, 2584, &,  0.000, &, 2337.2
ta031, &, 0.197, &, 2733, &, 0.000, &, 3280, &,  0.000, &, 2760.2
ta032, &, 0.233, &, 2843, &, 0.000, &, 3445, &,  0.000, &, 2855.6
ta033, &, 0.204, &, 2640, &, 0.000, &, 3018, &,  0.003, &, 2673.8
ta034, &, 0.218, &, 2782, &, 0.000, &, 3167, &,  0.000, &, 2807.0
ta035, &, 0.386, &, 2868, &, 0.000, &, 3236, &,  0.000, &, 2890.0
ta036, &, 0.204, &, 2850, &, 0.000, &, 3283, &,  0.000, &, 2878.8
ta037, &, 0.447, &, 2758, &, 0.000, &, 3102, &,  0.000, &, 2810.4
ta038, &, 0.282, &, 2721, &, 0.000, &, 3093, &,  0.000, &, 2757.2
ta039, &, 0.418, &, 2576, &, 0.003, &, 3021, &,  0.000, &, 2616.0
ta040, &, 0.430, &, 2790, &, 0.004, &, 3263, &,  0.000, &, 2821.0
ta041, &, 0.728, &, 3135, &, 0.003, &, 3791, &,  0.003, &, 3193.8
ta042, &, 0.780, &, 3032, &, 0.000, &, 3619, &,  0.003, &, 3113.0
ta043, &, 0.628, &, 2986, &, 0.003, &, 3753, &,  0.000, &, 3015.4
ta044, &, 0.739, &, 3198, &, 0.001, &, 3670, &,  0.002, &, 3234.8
ta045, &, 0.658, &, 3160, &, 0.002, &, 3905, &,  0.002, &, 3198.8
ta046, &, 0.666, &, 3178, &, 0.000, &, 4089, &,  0.003, &, 3215.0
ta047, &, 0.633, &, 3277, &, 0.003, &, 4162, &,  0.003, &, 3300.4
ta048, &, 0.639, &, 3123, &, 0.003, &, 3960, &,  0.000, &, 3167.6
ta049, &, 0.634, &, 3002, &, 0.000, &, 3602, &,  0.003, &, 3031.8
ta050, &, 0.638, &, 3257, &, 0.003, &, 3863, &,  0.000, &, 3288.2
ta051, &, 1.013, &, 4082, &, 0.003, &, 4858, &,  0.003, &, 4137.0
ta052, &, 1.023, &, 3921, &, 0.000, &, 4874, &,  0.006, &, 3975.6
ta053, &, 0.675, &, 3927, &, 0.000, &, 4803, &,  0.000, &, 3969.8
ta054, &, 0.731, &, 3969, &, 0.000, &, 4641, &,  0.004, &, 4029.0
ta055, &, 0.575, &, 3835, &, 0.000, &, 4705, &,  0.003, &, 3936.4
ta056, &, 0.514, &, 3914, &, 0.002, &, 4584, &,  0.002, &, 3967.6
ta057, &, 0.483, &, 3952, &, 0.002, &, 4832, &,  0.000, &, 3994.4
ta058, &, 0.500, &, 3938, &, 0.003, &, 4906, &,  0.000, &, 3976.6
ta059, &, 0.638, &, 3952, &, 0.000, &, 4789, &,  0.000, &, 4002.4
ta060, &, 0.498, &, 4079, &, 0.000, &, 4894, &,  0.000, &, 4089.4
ta061, &, 1.702, &, 5519, &, 0.001, &, 6090, &,  0.001, &, 5555.8
ta062, &, 1.600, &, 5348, &, 0.000, &, 5744, &,  0.000, &, 5380.6
ta063, &, 1.684, &, 5219, &, 0.003, &, 5884, &,  0.000, &, 5255.0
ta064, &, 1.713, &, 5023, &, 0.000, &, 5515, &,  0.003, &, 5055.4
ta065, &, 1.639, &, 5266, &, 0.000, &, 5766, &,  0.003, &, 5330.6
ta066, &, 1.664, &, 5139, &, 0.000, &, 5815, &,  0.000, &, 5175.4
ta067, &, 1.645, &, 5259, &, 0.000, &, 6052, &,  0.000, &, 5286.0
ta068, &, 1.720, &, 5120, &, 0.000, &, 6107, &,  0.000, &, 5164.8
ta069, &, 1.696, &, 5489, &, 0.000, &, 5890, &,  0.000, &, 5532.4
ta070, &, 1.572, &, 5299, &, 0.000, &, 6129, &,  0.000, &, 5311.0
ta071, &, 2.522, &, 5846, &, 0.002, &, 6725, &,  0.001, &, 5911.2
ta072, &, 2.520, &, 5453, &, 0.000, &, 6393, &,  0.003, &, 5498.8
ta073, &, 2.547, &, 5824, &, 0.003, &, 6716, &,  0.003, &, 5850.0
ta074, &, 2.495, &, 5929, &, 0.003, &, 7000, &,  0.000, &, 5967.0
ta075, &, 2.533, &, 5679, &, 0.000, &, 6491, &,  0.003, &, 5705.4
ta076, &, 2.489, &, 5375, &, 0.002, &, 6491, &,  0.001, &, 5398.4
ta077, &, 2.444, &, 5704, &, 0.000, &, 6584, &,  0.003, &, 5715.6
ta078, &, 2.521, &, 5760, &, 0.003, &, 6800, &,  0.000, &, 5797.8
ta079, &, 2.562, &, 6032, &, 0.003, &, 6820, &,  0.003, &, 6047.8
