ta000, &, 0.001, &, 32, &, 0.017, &, 36, &,  0.000, &, 36.8
ta001, &, 0.017, &, 1286, &, 0.000, &, 1573, &,  0.000, &, 1339.4
ta002, &, 0.002, &, 1365, &, 0.000, &, 1565, &,  0.000, &, 1372.4
ta003, &, 0.001, &, 1159, &, 0.003, &, 1355, &,  0.000, &, 1192.0
ta004, &, 0.000, &, 1325, &, 0.003, &, 1590, &,  0.000, &, 1359.8
ta005, &, 0.013, &, 1305, &, 0.000, &, 1420, &,  0.000, &, 1326.2
ta006, &, 0.014, &, 1228, &, 0.001, &, 1618, &,  0.000, &, 1261.8
ta007, &, 0.022, &, 1278, &, 0.001, &, 1598, &,  0.000, &, 1296.8
ta008, &, 0.034, &, 1223, &, 0.000, &, 1557, &,  0.000, &, 1260.2
ta009, &, 0.014, &, 1291, &, 0.000, &, 1473, &,  0.000, &, 1319.0
ta010, &, 0.021, &, 1151, &, 0.000, &, 1415, &,  0.002, &, 1181.6
ta011, &, 0.018, &, 1680, &, 0.000, &, 2111, &,  0.003, &, 1726.8
ta012, &, 0.018, &, 1729, &, 0.000, &, 2010, &,  0.000, &, 1747.0
ta013, &, 0.018, &, 1557, &, 0.000, &, 2062, &,  0.000, &, 1592.8
ta014, &, 0.032, &, 1439, &, 0.000, &, 1841, &,  0.000, &, 1466.6
ta015, &, 0.015, &, 1502, &, 0.003, &, 1956, &,  0.000, &, 1516.0
ta016, &, 0.017, &, 1453, &, 0.000, &, 1799, &,  0.000, &, 1505.4
ta017, &, 0.032, &, 1562, &, 0.000, &, 1933, &,  0.000, &, 1586.0
ta018, &, 0.031, &, 1609, &, 0.000, &, 1887, &,  0.000, &, 1651.2
ta019, &, 0.017, &, 1647, &, 0.000, &, 1857, &,  0.000, &, 1674.8
ta020, &, 0.034, &, 1653, &, 0.000, &, 2014, &,  0.000, &, 1696.0
ta021, &, 0.017, &, 2410, &, 0.004, &, 2851, &,  0.000, &, 2467.4
ta022, &, 0.033, &, 2150, &, 0.000, &, 2645, &,  0.000, &, 2216.8
ta023, &, 0.051, &, 2411, &, 0.000, &, 2654, &,  0.000, &, 2451.6
ta024, &, 0.099, &, 2262, &, 0.000, &, 2824, &,  0.003, &, 2297.8
ta025, &, 0.017, &, 2397, &, 0.000, &, 2860, &,  0.000, &, 2478.6
ta026, &, 0.032, &, 2349, &, 0.000, &, 2738, &,  0.000, &, 2376.6
ta027, &, 0.034, &, 2362, &, 0.000, &, 2725, &,  0.000, &, 2417.8
ta028, &, 0.034, &, 2249, &, 0.003, &, 2715, &,  0.000, &, 2273.2
ta029, &, 0.016, &, 2320, &, 0.000, &, 2726, &,  0.000, &, 2350.6
ta030, &, 0.032, &, 2277, &, 0.000, &, 2615, &,  0.000, &, 2346.2
ta031, &, 0.235, &, 2733, &, 0.000, &, 3337, &,  0.003, &, 2739.2
ta032, &, 0.180, &, 2843, &, 0.003, &, 3306, &,  0.000, &, 2858.8
ta033, &, 0.269, &, 2640, &, 0.000, &, 3123, &,  0.000, &, 2680.6
ta034, &, 0.181, &, 2782, &, 0.000, &, 3322, &,  0.003, &, 2786.8
ta035, &, 0.168, &, 2868, &, 0.000, &, 3463, &,  0.003, &, 2872.6
ta036, &, 0.185, &, 2850, &, 0.000, &, 3186, &,  0.003, &, 2863.0
ta037, &, 0.230, &, 2758, &, 0.000, &, 3169, &,  0.000, &, 2770.8
ta038, &, 0.207, &, 2721, &, 0.000, &, 3283, &,  0.001, &, 2739.6
ta039, &, 0.186, &, 2576, &, 0.000, &, 3046, &,  0.000, &, 2596.8
ta040, &, 0.194, &, 2790, &, 0.001, &, 3457, &,  0.000, &, 2803.4
ta041, &, 0.292, &, 3135, &, 0.002, &, 3724, &,  0.002, &, 3167.2
ta042, &, 0.297, &, 3032, &, 0.003, &, 3492, &,  0.000, &, 3064.0
ta043, &, 0.302, &, 2986, &, 0.000, &, 3805, &,  0.000, &, 3042.2
ta044, &, 0.333, &, 3198, &, 0.000, &, 3715, &,  0.003, &, 3241.6
ta045, &, 0.283, &, 3160, &, 0.002, &, 3904, &,  0.001, &, 3229.0
ta046, &, 0.370, &, 3178, &, 0.001, &, 3717, &,  0.001, &, 3219.8
ta047, &, 0.300, &, 3277, &, 0.001, &, 3856, &,  0.000, &, 3302.2
ta048, &, 0.298, &, 3123, &, 0.000, &, 3900, &,  0.000, &, 3150.2
ta049, &, 0.298, &, 3002, &, 0.003, &, 3682, &,  0.000, &, 3043.6
ta050, &, 0.283, &, 3257, &, 0.000, &, 3667, &,  0.000, &, 3272.4
ta051, &, 0.451, &, 4082, &, 0.001, &, 4779, &,  0.001, &, 4127.4
ta052, &, 0.482, &, 3921, &, 0.003, &, 4907, &,  0.000, &, 3968.6
ta053, &, 0.516, &, 3927, &, 0.000, &, 4655, &,  0.003, &, 3988.6
ta054, &, 0.516, &, 3969, &, 0.000, &, 4608, &,  0.003, &, 4012.4
ta055, &, 0.450, &, 3835, &, 0.000, &, 4852, &,  0.000, &, 3883.8
ta056, &, 0.500, &, 3914, &, 0.000, &, 4934, &,  0.000, &, 3964.6
ta057, &, 0.485, &, 3952, &, 0.000, &, 4769, &,  0.000, &, 3985.8
ta058, &, 0.468, &, 3938, &, 0.000, &, 4695, &,  0.003, &, 3989.8
ta059, &, 0.500, &, 3952, &, 0.003, &, 4662, &,  0.000, &, 3998.4
ta060, &, 0.583, &, 4079, &, 0.000, &, 4793, &,  0.003, &, 4080.8
ta061, &, 1.658, &, 5519, &, 0.000, &, 6050, &,  0.003, &, 5546.4
ta062, &, 1.631, &, 5348, &, 0.000, &, 5885, &,  0.000, &, 5369.6
ta063, &, 1.650, &, 5219, &, 0.002, &, 6093, &,  0.000, &, 5244.2
ta064, &, 1.698, &, 5023, &, 0.000, &, 5668, &,  0.000, &, 5038.2
ta065, &, 1.669, &, 5266, &, 0.000, &, 5876, &,  0.002, &, 5279.2
ta066, &, 1.675, &, 5139, &, 0.000, &, 5916, &,  0.000, &, 5163.8
ta067, &, 1.625, &, 5259, &, 0.001, &, 6066, &,  0.000, &, 5271.6
ta068, &, 1.718, &, 5120, &, 0.001, &, 5740, &,  0.001, &, 5146.8
ta069, &, 1.961, &, 5489, &, 0.003, &, 6229, &,  0.000, &, 5505.0
ta070, &, 1.562, &, 5299, &, 0.002, &, 6335, &,  0.002, &, 5327.0
ta071, &, 2.553, &, 5846, &, 0.000, &, 6795, &,  0.000, &, 5874.2
ta072, &, 2.413, &, 5453, &, 0.001, &, 6517, &,  0.002, &, 5499.6
ta073, &, 2.419, &, 5824, &, 0.003, &, 6620, &,  0.000, &, 5854.4
