ta000, &, 0.000, &, 32, &, 0.010, &, 42, &,  0.000, &, 35.0
ta001, &, 0.020, &, 1286, &, 0.000, &, 1511, &,  0.000, &, 1317.8
ta002, &, 0.013, &, 1365, &, 0.000, &, 1533, &,  0.001, &, 1408.0
ta003, &, 0.011, &, 1159, &, 0.000, &, 1542, &,  0.000, &, 1167.2
ta004, &, 0.014, &, 1325, &, 0.000, &, 1683, &,  0.000, &, 1373.6
ta005, &, 0.015, &, 1305, &, 0.001, &, 1421, &,  0.000, &, 1311.0
ta006, &, 0.015, &, 1228, &, 0.000, &, 1532, &,  0.000, &, 1281.2
ta007, &, 0.017, &, 1278, &, 0.001, &, 1448, &,  0.000, &, 1276.0
ta008, &, 0.015, &, 1223, &, 0.000, &, 1496, &,  0.000, &, 1257.4
ta009, &, 0.011, &, 1291, &, 0.000, &, 1648, &,  0.000, &, 1338.8
ta010, &, 0.052, &, 1151, &, 0.001, &, 1457, &,  0.001, &, 1211.6
ta011, &, 0.082, &, 1680, &, 0.001, &, 2144, &,  0.001, &, 1719.0
ta012, &, 0.081, &, 1729, &, 0.001, &, 2078, &,  0.002, &, 1774.0
ta013, &, 0.088, &, 1557, &, 0.000, &, 1966, &,  0.001, &, 1599.6
ta014, &, 0.046, &, 1439, &, 0.000, &, 1814, &,  0.001, &, 1479.2
ta015, &, 0.022, &, 1502, &, 0.000, &, 1769, &,  0.001, &, 1538.2
ta016, &, 0.029, &, 1453, &, 0.000, &, 1917, &,  0.000, &, 1480.0
ta017, &, 0.023, &, 1562, &, 0.000, &, 1880, &,  0.001, &, 1572.2
ta018, &, 0.022, &, 1609, &, 0.000, &, 1925, &,  0.001, &, 1648.2
ta019, &, 0.022, &, 1647, &, 0.000, &, 1872, &,  0.001, &, 1654.0
ta020, &, 0.018, &, 1653, &, 0.000, &, 2043, &,  0.000, &, 1690.4
ta021, &, 0.037, &, 2410, &, 0.001, &, 2630, &,  0.000, &, 2474.4
ta022, &, 0.029, &, 2150, &, 0.000, &, 2502, &,  0.000, &, 2212.8
ta023, &, 0.029, &, 2411, &, 0.000, &, 2920, &,  0.000, &, 2420.6
ta024, &, 0.033, &, 2262, &, 0.004, &, 2589, &,  0.000, &, 2288.2
ta025, &, 0.048, &, 2397, &, 0.000, &, 2778, &,  0.000, &, 2427.0
ta026, &, 0.033, &, 2349, &, 0.000, &, 2731, &,  0.000, &, 2393.0
ta027, &, 0.018, &, 2362, &, 0.000, &, 2670, &,  0.000, &, 2388.4
ta028, &, 0.034, &, 2249, &, 0.000, &, 2852, &,  0.000, &, 2299.6
ta029, &, 0.029, &, 2320, &, 0.003, &, 2894, &,  0.001, &, 2365.6
ta030, &, 0.031, &, 2277, &, 0.000, &, 2676, &,  0.000, &, 2303.6
ta031, &, 0.251, &, 2733, &, 0.000, &, 3095, &,  0.000, &, 2744.8
ta032, &, 0.164, &, 2843, &, 0.003, &, 3449, &,  0.000, &, 2858.4
ta033, &, 0.186, &, 2640, &, 0.000, &, 3165, &,  0.000, &, 2683.0
ta034, &, 0.241, &, 2782, &, 0.000, &, 3116, &,  0.001, &, 2798.0
ta035, &, 0.217, &, 2868, &, 0.000, &, 3232, &,  0.001, &, 2906.6
ta036, &, 0.227, &, 2850, &, 0.001, &, 3246, &,  0.001, &, 2893.8
ta037, &, 0.221, &, 2758, &, 0.000, &, 3029, &,  0.001, &, 2788.0
ta038, &, 0.196, &, 2721, &, 0.000, &, 3230, &,  0.000, &, 2739.2
ta039, &, 0.349, &, 2576, &, 0.000, &, 3067, &,  0.000, &, 2592.0
ta040, &, 0.202, &, 2790, &, 0.000, &, 3417, &,  0.000, &, 2830.2
ta041, &, 0.323, &, 3135, &, 0.000, &, 3921, &,  0.003, &, 3187.2
ta042, &, 0.469, &, 3032, &, 0.000, &, 3782, &,  0.001, &, 3064.8
ta043, &, 0.306, &, 2986, &, 0.000, &, 3620, &,  0.000, &, 3017.2
ta044, &, 0.415, &, 3198, &, 0.000, &, 3704, &,  0.000, &, 3247.6
ta045, &, 0.378, &, 3160, &, 0.000, &, 3715, &,  0.000, &, 3203.0
ta046, &, 0.282, &, 3178, &, 0.000, &, 3634, &,  0.000, &, 3222.2
ta047, &, 0.334, &, 3277, &, 0.000, &, 3770, &,  0.000, &, 3316.6
ta048, &, 0.283, &, 3123, &, 0.000, &, 3796, &,  0.000, &, 3160.6
ta049, &, 0.283, &, 3002, &, 0.003, &, 3822, &,  0.000, &, 3052.8
ta050, &, 0.317, &, 3257, &, 0.000, &, 3719, &,  0.000, &, 3309.8
ta051, &, 0.498, &, 4082, &, 0.000, &, 4853, &,  0.000, &, 4095.4
ta052, &, 0.472, &, 3921, &, 0.004, &, 4814, &,  0.000, &, 3975.4
ta053, &, 0.479, &, 3927, &, 0.000, &, 4720, &,  0.000, &, 3980.8
ta054, &, 0.531, &, 3969, &, 0.000, &, 4515, &,  0.003, &, 4020.0
ta055, &, 0.525, &, 3835, &, 0.000, &, 4798, &,  0.003, &, 3866.8
ta056, &, 0.535, &, 3914, &, 0.002, &, 4799, &,  0.001, &, 3959.8
ta057, &, 0.525, &, 3952, &, 0.002, &, 4760, &,  0.001, &, 4011.0
ta058, &, 0.500, &, 3938, &, 0.000, &, 4966, &,  0.003, &, 3979.0
ta059, &, 0.486, &, 3952, &, 0.000, &, 4622, &,  0.000, &, 4000.4
ta060, &, 0.519, &, 4079, &, 0.000, &, 4925, &,  0.003, &, 4109.4
ta061, &, 1.649, &, 5519, &, 0.000, &, 6258, &,  0.000, &, 5571.6
ta062, &, 1.699, &, 5348, &, 0.000, &, 5752, &,  0.000, &, 5360.0
ta063, &, 1.716, &, 5219, &, 0.000, &, 5942, &,  0.003, &, 5225.2
ta064, &, 1.631, &, 5023, &, 0.000, &, 5829, &,  0.000, &, 5036.4
ta065, &, 1.697, &, 5266, &, 0.003, &, 6086, &,  0.000, &, 5280.0
ta066, &, 1.699, &, 5139, &, 0.000, &, 5639, &,  0.000, &, 5181.0
ta067, &, 1.734, &, 5259, &, 0.000, &, 5875, &,  0.000, &, 5292.6
ta068, &, 1.670, &, 5120, &, 0.000, &, 6034, &,  0.000, &, 5149.8
ta069, &, 1.682, &, 5489, &, 0.000, &, 6022, &,  0.003, &, 5526.0
ta070, &, 1.780, &, 5299, &, 0.000, &, 5823, &,  0.000, &, 5320.8
ta071, &, 2.516, &, 5846, &, 0.003, &, 6843, &,  0.000, &, 5880.6
ta072, &, 2.843, &, 5453, &, 0.000, &, 6268, &,  0.003, &, 5484.2
ta073, &, 2.520, &, 5824, &, 0.000, &, 7043, &,  0.000, &, 5830.8
ta074, &, 2.450, &, 5929, &, 0.000, &, 6944, &,  0.003, &, 5968.6
ta075, &, 2.407, &, 5679, &, 0.002, &, 6472, &,  0.002, &, 5715.0
ta076, &, 2.558, &, 5375, &, 0.000, &, 6482, &,  0.003, &, 5418.2
