ta000, &, 0.001, &, 32, &, 0.024, &, 36, &,  0.000, &, 36.6
ta001, &, 0.017, &, 1286, &, 0.000, &, 1464, &,  0.000, &, 1340.0
ta002, &, 0.016, &, 1365, &, 0.000, &, 1472, &,  0.000, &, 1365.0
ta003, &, 0.000, &, 1159, &, 0.000, &, 1378, &,  0.000, &, 1162.2
ta004, &, 0.000, &, 1325, &, 0.000, &, 1571, &,  0.000, &, 1362.4
ta005, &, 0.017, &, 1305, &, 0.000, &, 1523, &,  0.000, &, 1317.6
ta006, &, 0.020, &, 1228, &, 0.000, &, 1436, &,  0.000, &, 1245.8
ta007, &, 0.028, &, 1278, &, 0.000, &, 1469, &,  0.000, &, 1283.6
ta008, &, 0.032, &, 1223, &, 0.001, &, 1549, &,  0.001, &, 1259.6
ta009, &, 0.024, &, 1291, &, 0.000, &, 1479, &,  0.000, &, 1308.8
ta010, &, 0.012, &, 1151, &, 0.000, &, 1491, &,  0.000, &, 1176.6
ta011, &, 0.017, &, 1680, &, 0.000, &, 2005, &,  0.000, &, 1694.4
ta012, &, 0.033, &, 1729, &, 0.000, &, 2039, &,  0.000, &, 1754.8
ta013, &, 0.017, &, 1557, &, 0.000, &, 1910, &,  0.000, &, 1583.2
ta014, &, 0.021, &, 1439, &, 0.000, &, 1816, &,  0.000, &, 1482.2
ta015, &, 0.018, &, 1502, &, 0.000, &, 1839, &,  0.000, &, 1573.4
ta016, &, 0.015, &, 1453, &, 0.003, &, 1804, &,  0.000, &, 1485.0
ta017, &, 0.014, &, 1562, &, 0.000, &, 1898, &,  0.000, &, 1591.4
ta018, &, 0.016, &, 1609, &, 0.003, &, 1983, &,  0.000, &, 1665.2
ta019, &, 0.015, &, 1647, &, 0.000, &, 2108, &,  0.000, &, 1730.0
ta020, &, 0.017, &, 1653, &, 0.000, &, 2008, &,  0.000, &, 1700.0
ta021, &, 0.034, &, 2410, &, 0.000, &, 2747, &,  0.000, &, 2446.0
ta022, &, 0.036, &, 2150, &, 0.000, &, 2683, &,  0.002, &, 2207.2
ta023, &, 0.017, &, 2411, &, 0.003, &, 2730, &,  0.000, &, 2462.6
ta024, &, 0.015, &, 2262, &, 0.003, &, 2658, &,  0.000, &, 2307.0
