ta000.txt ,&, 0.000 ,&,32,&, 0.000 ,&,32 
ta001.txt ,&, 0.000 ,&,1459,&, 15.600 ,&,1286 
ta002.txt ,&, 0.000 ,&,1545,&, 15.600 ,&,1365 
ta003.txt ,&, 0.000 ,&,1412,&, 31.200 ,&,1159 
ta004.txt ,&, 0.000 ,&,1443,&, 15.600 ,&,1325 
ta005.txt ,&, 0.000 ,&,1376,&, 15.600 ,&,1305 
ta006.txt ,&, 0.000 ,&,1445,&, 31.200 ,&,1228 
ta007.txt ,&, 0.000 ,&,1519,&, 15.600 ,&,1278 
ta008.txt ,&, 0.000 ,&,1470,&, 31.200 ,&,1223 
ta009.txt ,&, 0.000 ,&,1428,&, 31.200 ,&,1291 
ta010.txt ,&, 0.000 ,&,1304,&, 15.600 ,&,1151 
ta011.txt ,&, 0.000 ,&,1947,&, 31.200 ,&,1680 
ta012.txt ,&, 0.000 ,&,2079,&, 31.200 ,&,1729 
ta013.txt ,&, 0.000 ,&,1922,&, 31.200 ,&,1557 
ta014.txt ,&, 1.000 ,&,1707,&, 31.002 ,&,1439 
ta015.txt ,&, 0.000 ,&,1801,&, 31.200 ,&,1502 
ta016.txt ,&, 0.000 ,&,1782,&, 31.200 ,&,1453 
ta017.txt ,&, 15.600 ,&,1772,&, 15.600 ,&,1562 
ta018.txt ,&, 0.000 ,&,1916,&, 31.200 ,&,1609 
ta019.txt ,&, 0.000 ,&,1961,&, 31.200 ,&,1647 
ta020.txt ,&, 0.000 ,&,1876,&, 31.200 ,&,1653 
ta021.txt ,&, 0.000 ,&,2708,&, 46.800 ,&,2410 
ta022.txt ,&, 0.000 ,&,2717,&, 46.800 ,&,2150 
ta023.txt ,&, 0.000 ,&,2817,&, 46.800 ,&,2411 
ta024.txt ,&, 15.600 ,&,2758,&, 84.401 ,&,2262 
ta025.txt ,&, 6.001 ,&,2795,&, 46.201 ,&,2397 
ta026.txt ,&, 15.600 ,&,2651,&, 62.400 ,&,2349 
